station_line,station,linename,objectid
WILSON AVL,WILSON AV,L,74
163 ST-AMSTERDMC,163 ST-AMSTERDM,C,412
FRANKLIN AVACS,FRANKLIN AV,ACS,447
FRANKLIN AVACS,FRANKLIN AV,ACS,288
NORTHERN BLVDMR,NORTHERN BLVD,MR,238
BROADWAYG,BROADWAY,G,71
2 AVF,2 AV,F,371
YORK STF,YORK ST,F,452
57 STF,57 ST,F,350
21 STF,21 ST,F,346
RECTOR ST1,RECTOR ST,1,425
CORTLANDT ST1,CORTLANDT ST,1,426
238 ST1,238 ST,1,6
138 ST-GR CONC45,138 ST-GR CONC,45,141
MT EDEN AV4,MT EDEN AV,4,262
176 ST4,176 ST,4,174
111 ST7,111 ST,7,190
BOWERYJZ,BOWERY,JZ,434
W 8 ST-AQUARIUMFQ,W 8 ST-AQUARIUM,FQ,198
BUSHWICK AVL,BUSHWICK AV,L,282
103 STBC,103 ST,BC,161
155 STBD,155 ST,BD,296
FLUSHING AVG,FLUSHING AV,G,364
CLINTON-WASH AVG,CLINTON-WASH AV,G,119
FULTON STG,FULTON ST,G,118
LEXINGTON AVF,LEXINGTON AV,F,351
CANAL ST1,CANAL ST,1,90
18 ST1,18 ST,1,203
SPRING ST6,SPRING ST,6,467
110 ST-CPN23,110 ST-CPN,23,160
116 ST23,116 ST,23,170
WHITLOCK AV6,WHITLOCK AV,6,52
ZEREGA AV6,ZEREGA AV,6,30
52 ST-LINCOLN7,52 ST-LINCOLN,7,236
METS-WILLETS PT7,METS-WILLETS PT,7,23
MORRIS PARK5,MORRIS PARK,5,125
3 AVL,3 AV,L,383
155 STC,155 ST,C,411
135 STBC,135 ST,BC,440
116 STBC,116 ST,BC,398
CATHEDRL-110 STBC,CATHEDRL-110 ST,BC,7
BEACH 67 STA,BEACH 67 ST,A,205
BEACH 60 STA,BEACH 60 ST,A,182
BEACH 44 STA,BEACH 44 ST,A,181
BEACH 36 STA,BEACH 36 ST,A,185
36 STMR,36 ST,MR,10
65 STMR,65 ST,MR,9
75 AVEF,75 AV,EF,164
JAMAICA-VAN WYCE,JAMAICA-VAN WYC,E,63
FRANKLIN ST1,FRANKLIN ST,1,464
145 ST3,145 ST,3,173
148 ST-LENOX3,148 ST-LENOX,3,261
COURT SQ7,COURT SQ,7,93
69 ST-FISK AV7,69 ST-FISK AV,7,230
ATLANTIC AVL,ATLANTIC AV,L,194
SUTTER AVL,SUTTER AV,L,73
LIVONIA AVL,LIVONIA AV,L,216
HEWES STJM,HEWES ST,JM,140
LORIMER STJM,LORIMER ST,JM,76
OXFORD-104 STA,OXFORD-104 ST,A,98
GREENWOOD-111A,GREENWOOD-111,A,83
LEFFERTS BLVDA,LEFFERTS BLVD,A,196
AQUEDUCT-N CNDTA,AQUEDUCT-N CNDT,A,243
BEACH 25 STA,BEACH 25 ST,A,186
COURT SQ-23 STEMG,COURT SQ-23 ST,EMG,66
COURT SQ-23 STEMG,COURT SQ-23 ST,EMG,153
COURT SQ-23 STEMG,COURT SQ-23 ST,EMG,152
COURT SQEMG,COURT SQ,EMG,153
COURT SQEMG,COURT SQ,EMG,152
COURT SQEMG,COURT SQ,EMG,66
